sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
22N13684	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13684	22N13684_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13684_S94_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13684_S94_L004_R2_001.fastq.gz	1655098.348	1729642.929
22N13685	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13685	22N13685_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13685_S95_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13685_S95_L004_R2_001.fastq.gz	2015923.85	2111564.715
22N13686	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13686	22N13686_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13686_S96_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13686_S96_L004_R2_001.fastq.gz	2303198.783	2418795.185
22N13687	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13687	22N13687_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13687_S97_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13687_S97_L004_R2_001.fastq.gz	2160895.999	2276182.259
22N13688	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13688	22N13688_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13688_S98_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13688_S98_L004_R2_001.fastq.gz	2049774.936	2129650.033
22N13689	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13689	22N13689_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13689_S99_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13689_S99_L004_R2_001.fastq.gz	2327484.149	2442266.561
22N13690	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13690	22N13690_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13690_S100_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13690_S100_L004_R2_001.fastq.gz	2184961.963	2290657.97
22N13691	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13691	22N13691_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13691_S101_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13691_S101_L004_R2_001.fastq.gz	1950313.633	2045996.906
22N13692	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13692	22N13692_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13692_S102_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13692_S102_L004_R2_001.fastq.gz	2220244.245	2339467.8
22N13693	1	Lib-1	HC53KDSX7	ILLUMINA	4	22N13693	22N13693_Lib-1_1	data/fastqs/LOSH_001/LOSH_001_22N13693_S103_L004_R1_001.fastq.gz	data/fastqs/LOSH_001/LOSH_001_22N13693_S103_L004_R2_001.fastq.gz	1799293.047	1893001.667
24N03256	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N03256	24N03256_Lib-6_1	data/fastqs/LOSH_006/L_24N03256_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03256_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	5864418.278	5866428.795
24N03262	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N03262	24N03262_Lib-6_1	data/fastqs/LOSH_006/L_24N03262_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03262_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	5433669.96	5333024.921
24N03263	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N03263	24N03263_Lib-6_1	data/fastqs/LOSH_006/L_24N03263_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03263_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	6194226.098	6106641.187
24N03264	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N03264	24N03264_Lib-6_1	data/fastqs/LOSH_006/L_24N03264_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03264_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	3316499.079	3283503.491
24N03273	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N03273	24N03273_Lib-6_1	data/fastqs/LOSH_006/L_24N03273_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03273_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	4192138.985	4110262.356
24N03274	1	Lib-6	22J7G3LT4	ILLUMINA	6	24N03274	24N03274_Lib-6_1	data/fastqs/LOSH_006/L_24N03274_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03274_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	3474794.646	3601548.162
