sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
24N03253	1	Lib-5	22FWCTLT4	ILLUMINA	8	24N03253	24N03253_Lib-5_1	data/fastqs/LOSH_005/L_24N03253_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_24N03253_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	98837.878	93151.101
24N03254	1	Lib-5	22FWCTLT4	ILLUMINA	8	24N03254	24N03254_Lib-5_1	data/fastqs/LOSH_005/L_24N03254_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_24N03254_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	520293.608	502595.521
24N03255	1	Lib-5	22FWCTLT4	ILLUMINA	8	24N03255	24N03255_Lib-5_1	data/fastqs/LOSH_005/L_24N03255_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_24N03255_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	1815239.941	1747540.282
24N03256	1	Lib-5	22FWCTLT4	ILLUMINA	8	24N03256	24N03256_Lib-5_1	data/fastqs/LOSH_005/L_24N03256_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_24N03256_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	676638.178	666723.927
24N03256	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N03256	24N03256_Lib-6_2	data/fastqs/LOSH_006/L_24N03256_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03256_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	5864418.278	5866428.795
24N03259	1	Lib-5	22FWCTLT4	ILLUMINA	8	24N03259	24N03259_Lib-5_1	data/fastqs/LOSH_005/L_24N03259_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_24N03259_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	308756.862	292192.171
24N03261	1	Lib-5	22FWCTLT4	ILLUMINA	8	24N03261	24N03261_Lib-5_1	data/fastqs/LOSH_005/L_24N03261_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_24N03261_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	1818099.289	1759978.113
24N03262	1	Lib-5	22FWCTLT4	ILLUMINA	8	24N03262	24N03262_Lib-5_1	data/fastqs/LOSH_005/L_24N03262_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_24N03262_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	579722.232	546549.881
24N03262	2	Lib-6	22J7G3LT4	ILLUMINA	6	24N03262	24N03262_Lib-6_2	data/fastqs/LOSH_006/L_24N03262_CKDL250006273-1A_22J7G3LT4_L6_1.fq.gz	data/fastqs/LOSH_006/L_24N03262_CKDL250006273-1A_22J7G3LT4_L6_2.fq.gz	5433669.96	5333024.921
24N03263	1	Lib-5	22FWCTLT4	ILLUMINA	8	24N03263	24N03263_Lib-5_1	data/fastqs/LOSH_005/L_24N03263_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_24N03263_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	506188.976	486271.875
