sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
17N04030	1	Plate007	2352GHLT4	ILLUMINA	1	17N04030	17N04030-Plate007-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04030/R_17N04030_WKDL260001355-1A_2352GHLT4_L1_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04030/R_17N04030_WKDL260001355-1A_2352GHLT4_L1_2.fq.gz	2083519.284	2099446.482
17N04031	1	Plate007	2352GHLT4	ILLUMINA	1	17N04031	17N04031-Plate007-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04031/R_17N04031_WKDL260001355-1A_2352GHLT4_L1_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04031/R_17N04031_WKDL260001355-1A_2352GHLT4_L1_2.fq.gz	2658733.886	2659707.041
17N04033	1	Plate007	2352GHLT4	ILLUMINA	1	17N04033	17N04033-Plate007-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04033/R_17N04033_WKDL260001355-1A_2352GHLT4_L1_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04033/R_17N04033_WKDL260001355-1A_2352GHLT4_L1_2.fq.gz	2724685.246	2742190.508
17N04036	1	Plate007	2352GHLT4	ILLUMINA	1	17N04036	17N04036-Plate007-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04036/R_17N04036_WKDL260001355-1A_2352GHLT4_L1_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04036/R_17N04036_WKDL260001355-1A_2352GHLT4_L1_2.fq.gz	2471376.925	2491462.853
17N04041	1	Plate007	2352GHLT4	ILLUMINA	1	17N04041	17N04041-Plate007-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04041/R_17N04041_WKDL260001355-1A_2352GHLT4_L1_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04041/R_17N04041_WKDL260001355-1A_2352GHLT4_L1_2.fq.gz	3538007.542	3523629.605
17N04044	1	Plate007	2352GHLT4	ILLUMINA	1	17N04044	17N04044-Plate007-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04044/R_17N04044_WKDL260001355-1A_2352GHLT4_L1_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04044/R_17N04044_WKDL260001355-1A_2352GHLT4_L1_2.fq.gz	3208376.475	3221191.042
17N04045	1	Plate007	2352GHLT4	ILLUMINA	1	17N04045	17N04045-Plate007-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04045/R_17N04045_WKDL260001355-1A_2352GHLT4_L1_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04045/R_17N04045_WKDL260001355-1A_2352GHLT4_L1_2.fq.gz	3963329.547	3923412.605
17N04046	1	Plate007	2352GHLT4	ILLUMINA	1	17N04046	17N04046-Plate007-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04046/R_17N04046_WKDL260001355-1A_2352GHLT4_L1_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04046/R_17N04046_WKDL260001355-1A_2352GHLT4_L1_2.fq.gz	4680304.298	4594531.721
17N04047	1	Plate007	2352GHLT4	ILLUMINA	1	17N04047	17N04047-Plate007-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04047/R_17N04047_WKDL260001355-1A_2352GHLT4_L1_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04047/R_17N04047_WKDL260001355-1A_2352GHLT4_L1_2.fq.gz	4203470.262	4169010.604
17N04051	1	Plate007	2352GHLT4	ILLUMINA	1	17N04051	17N04051-Plate007-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04051/R_17N04051_WKDL260001355-1A_2352GHLT4_L1_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_17N04051/R_17N04051_WKDL260001355-1A_2352GHLT4_L1_2.fq.gz	3348284.542	3351913.418
