sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
25N04946	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N04946	25N04946-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N04946/B_25N04946_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N04946/B_25N04946_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	1833283.919	1563941.416
25N04946	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N04946	25N04946-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N04946/R_25N04946_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N04946/R_25N04946_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	1614005.345	1359021.263
25N04964	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N04964	25N04964-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N04964/B_25N04964_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N04964/B_25N04964_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2039193.562	1728297.723
25N04964	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N04964	25N04964-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N04964/R_25N04964_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N04964/R_25N04964_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2384857.514	1985909.709
25N04976_c	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N04976_c	25N04976-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N04976/B_25N04976_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N04976/B_25N04976_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2994871.39	2409696.252
25N04976_c	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N04976_c	25N04976-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N04976/R_25N04976_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N04976/R_25N04976_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	2989385.244	2457309.574
25N04978	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N04978	25N04978-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N04978/B_25N04978_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N04978/B_25N04978_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	3022761.293	2496927.384
25N04978	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N04978	25N04978-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N04978/R_25N04978_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N04978/R_25N04978_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	3046642.705	2507662.579
25N04981_c	2	histDNAredo	2353MHLT4	ILLUMINA	8	25N04981_c	25N04981-histDNAredo-2	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N04981/B_25N04981_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/B_25N04981/B_25N04981_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	3114807.719	2540302.99
25N04981_c	1	histDNAredo	2353MHLT4	ILLUMINA	8	25N04981_c	25N04981-histDNAredo-1	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N04981/R_25N04981_WKDL260001354-1A_2353MHLT4_L8_1.fq.gz	data/ROFI007_hDNAredo_Novoseq_02122026/01.RawData/R_25N04981/R_25N04981_WKDL260001354-1A_2353MHLT4_L8_2.fq.gz	3216656.904	2603912.273
