id	scatter_idx	chrom	start	end	scatter_length
Scaffold_1__1_contigs__length_151072562	scat_0001	Scaffold_1__1_contigs__length_151072562	1	4873309	4873309
Scaffold_1__1_contigs__length_151072562	scat_0002	Scaffold_1__1_contigs__length_151072562	4873310	9746618	4873309
Scaffold_1__1_contigs__length_151072562	scat_0003	Scaffold_1__1_contigs__length_151072562	9746619	14619927	4873309
Scaffold_1__1_contigs__length_151072562	scat_0004	Scaffold_1__1_contigs__length_151072562	14619928	19493236	4873309
Scaffold_1__1_contigs__length_151072562	scat_0005	Scaffold_1__1_contigs__length_151072562	19493237	24366545	4873309
Scaffold_1__1_contigs__length_151072562	scat_0006	Scaffold_1__1_contigs__length_151072562	24366546	29239854	4873309
Scaffold_1__1_contigs__length_151072562	scat_0007	Scaffold_1__1_contigs__length_151072562	29239855	34113163	4873309
Scaffold_1__1_contigs__length_151072562	scat_0008	Scaffold_1__1_contigs__length_151072562	34113164	38986472	4873309
Scaffold_1__1_contigs__length_151072562	scat_0009	Scaffold_1__1_contigs__length_151072562	38986473	43859781	4873309
Scaffold_1__1_contigs__length_151072562	scat_0010	Scaffold_1__1_contigs__length_151072562	43859782	48733090	4873309
Scaffold_1__1_contigs__length_151072562	scat_0011	Scaffold_1__1_contigs__length_151072562	48733091	53606399	4873309
Scaffold_1__1_contigs__length_151072562	scat_0012	Scaffold_1__1_contigs__length_151072562	53606400	58479708	4873309
Scaffold_1__1_contigs__length_151072562	scat_0013	Scaffold_1__1_contigs__length_151072562	58479709	63353017	4873309
Scaffold_1__1_contigs__length_151072562	scat_0014	Scaffold_1__1_contigs__length_151072562	63353018	68226326	4873309
Scaffold_1__1_contigs__length_151072562	scat_0015	Scaffold_1__1_contigs__length_151072562	68226327	73099635	4873309
Scaffold_1__1_contigs__length_151072562	scat_0016	Scaffold_1__1_contigs__length_151072562	73099636	77972944	4873309
Scaffold_1__1_contigs__length_151072562	scat_0017	Scaffold_1__1_contigs__length_151072562	77972945	82846253	4873309
Scaffold_1__1_contigs__length_151072562	scat_0018	Scaffold_1__1_contigs__length_151072562	82846254	87719562	4873309
Scaffold_1__1_contigs__length_151072562	scat_0019	Scaffold_1__1_contigs__length_151072562	87719563	92592871	4873309
Scaffold_1__1_contigs__length_151072562	scat_0020	Scaffold_1__1_contigs__length_151072562	92592872	97466180	4873309
Scaffold_1__1_contigs__length_151072562	scat_0021	Scaffold_1__1_contigs__length_151072562	97466181	102339489	4873309
Scaffold_1__1_contigs__length_151072562	scat_0022	Scaffold_1__1_contigs__length_151072562	102339490	107212798	4873309
Scaffold_1__1_contigs__length_151072562	scat_0023	Scaffold_1__1_contigs__length_151072562	107212799	112086107	4873309
Scaffold_1__1_contigs__length_151072562	scat_0024	Scaffold_1__1_contigs__length_151072562	112086108	116959416	4873309
Scaffold_1__1_contigs__length_151072562	scat_0025	Scaffold_1__1_contigs__length_151072562	116959417	121832725	4873309
