id	chrom	len	cumul
scaff_group_002	Scaffold_12__1_contigs__length_2025999	2025999	2025999
scaff_group_003	Scaffold_13__1_contigs__length_2412999	2412999	4438998
scaff_group_003	Scaffold_33__1_contigs__length_1068436	1068437	5507435
scaff_group_004	Scaffold_34__1_contigs__length_540211	540212	6047647
scaff_group_004	Scaffold_35__1_contigs__length_473747	473748	6521395
scaff_group_004	Scaffold_36__1_contigs__length_328236	328237	6849632
scaff_group_004	Scaffold_37__1_contigs__length_122108	122109	6971741
scaff_group_004	Scaffold_38__1_contigs__length_88005	88006	7059747
scaff_group_004	Scaffold_39__1_contigs__length_82342	82343	7142090
scaff_group_004	Scaffold_40__1_contigs__length_80182	80183	7222273
scaff_group_004	Scaffold_41__1_contigs__length_72752	72753	7295026
scaff_group_004	Scaffold_42__1_contigs__length_72702	72703	7367729
scaff_group_004	Scaffold_43__1_contigs__length_72670	72671	7440400
scaff_group_004	Scaffold_44__1_contigs__length_69604	69605	7510005
scaff_group_004	Scaffold_45__1_contigs__length_65579	65580	7575585
scaff_group_004	Scaffold_46__1_contigs__length_59806	59807	7635392
scaff_group_004	Scaffold_47__1_contigs__length_49459	49460	7684852
scaff_group_004	Scaffold_48__1_contigs__length_49440	49441	7734293
scaff_group_004	Scaffold_49__1_contigs__length_49304	49305	7783598
scaff_group_004	Scaffold_50__1_contigs__length_45604	45605	7829203
scaff_group_004	Scaffold_51__1_contigs__length_41917	41918	7871121
scaff_group_004	Scaffold_52__1_contigs__length_41914	41915	7913036
scaff_group_004	Scaffold_53__1_contigs__length_39933	39934	7952970
scaff_group_004	Scaffold_54__1_contigs__length_37642	37643	7990613
scaff_group_005	Scaffold_55__1_contigs__length_36716	36717	8027330
scaff_group_005	Scaffold_56__1_contigs__length_36313	36314	8063644
scaff_group_005	Scaffold_57__1_contigs__length_36312	36313	8099957
scaff_group_005	Scaffold_58__1_contigs__length_36054	36055	8136012
scaff_group_005	Scaffold_59__1_contigs__length_35593	35594	8171606
scaff_group_005	Scaffold_60__1_contigs__length_35488	35489	8207095
scaff_group_005	Scaffold_61__1_contigs__length_35177	35178	8242273
scaff_group_005	Scaffold_62__1_contigs__length_34951	34952	8277225
scaff_group_005	Scaffold_63__1_contigs__length_34484	34485	8311710
scaff_group_005	Scaffold_64__1_contigs__length_34483	34484	8346194
scaff_group_005	Scaffold_65__1_contigs__length_34125	34126	8380320
scaff_group_005	Scaffold_66__1_contigs__length_33415	33416	8413736
scaff_group_005	Scaffold_67__1_contigs__length_33312	33313	8447049
scaff_group_005	Scaffold_68__1_contigs__length_33307	33308	8480357
scaff_group_005	Scaffold_69__1_contigs__length_33199	33200	8513557
scaff_group_005	Scaffold_70__1_contigs__length_33197	33198	8546755
scaff_group_005	Scaffold_71__1_contigs__length_32683	32684	8579439
scaff_group_005	Scaffold_72__1_contigs__length_32679	32680	8612119
scaff_group_005	Scaffold_73__1_contigs__length_32565	32566	8644685
scaff_group_005	Scaffold_74__1_contigs__length_32130	32131	8676816
scaff_group_005	Scaffold_75__1_contigs__length_32089	32090	8708906
scaff_group_005	Scaffold_76__1_contigs__length_31588	31589	8740495
scaff_group_005	Scaffold_77__1_contigs__length_29597	29598	8770093
scaff_group_005	Scaffold_78__1_contigs__length_28406	28407	8798500
scaff_group_005	Scaffold_79__1_contigs__length_27807	27808	8826308
scaff_group_005	Scaffold_80__1_contigs__length_27141	27142	8853450
scaff_group_005	Scaffold_81__1_contigs__length_26279	26280	8879730
scaff_group_005	Scaffold_82__1_contigs__length_26278	26279	8906009
scaff_group_005	Scaffold_83__1_contigs__length_25901	25902	8931911
scaff_group_005	Scaffold_84__1_contigs__length_25667	25668	8957579
